Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,GPU,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
Oale,Apex2,Apex2,3024MB,Phone,Mediatek MT6739WW,Imagination Tech PowerVR GE8100 (570 MHz),720x1440,320,arm64-v8a;armeabi;armeabi-v7a,27,3.2
Oale,Apex3,Apex3,3023MB,Phone,Mediatek MT6739CH,Imagination Tech PowerVR GE8100 (570 MHz),720x1500,320,arm64-v8a;armeabi;armeabi-v7a,27,3.2
Oale,P1,P1,1973MB,Phone,Mediatek MT6739WW,Imagination Tech PowerVR GE8100 (570 MHz),720x1440,320,armeabi;armeabi-v7a,27,3.2
Oale,P2,P2,1953MB,Phone,Mediatek MT6739WW,Imagination Tech PowerVR GE8100 (570 MHz),720x1440,320,arm64-v8a;armeabi;armeabi-v7a,27,3.2
Oale,P3,P3,1954MB,Phone,Mediatek MT6739WW,Imagination Tech PowerVR GE8100 (570 MHz),720x1440,320,arm64-v8a;armeabi;armeabi-v7a,27,3.2
Oale,P5,P5,942MB,Phone,Mediatek MT6739WW,Imagination Tech PowerVR GE8100 (570 MHz),720x1280,320,armeabi;armeabi-v7a,27,3.2
Oale,P5S,P5S,1005MB,Phone,Mediatek MT6580M,未知,480x854,240,armeabi;armeabi-v7a,27,2.0
Oale,P6,P6,942MB,Phone,Mediatek MT6739WW,Imagination Tech PowerVR GE8100 (570 MHz),720x1280,320,armeabi;armeabi-v7a,27,3.2
Oale,P6S,P6S,1005MB,Phone,Mediatek MT6580M,未知,480x854,240,armeabi;armeabi-v7a,27,2.0
Oale,XS2_LTE,XS2_LTE,2992MB,Phone,Mediatek MT6761,Imagination Tech PowerVR GE8300 (660 MHz),720x1520,320,armeabi;armeabi-v7a,28,3.2
Oale,dbx,dbx,2025MB,Phone,Spreadtrum SC7731E,ARM Mali T820 (600 MHz),720x1600,320,armeabi;armeabi-v7a,30,3.2
Oangcc,Tab_A6,Tab_A6,4121MB,Tablet,Rockchip RK3566,ARM Mali G52 (800 MHz),800x1280,213,arm64-v8a;armeabi;armeabi-v7a,30,3.2
Oangcc,Tab_A6_EEA,Tab_A6_EEA,4121MB,Tablet,Rockchip RK3566,ARM Mali G52 (800 MHz),800x1280,213,arm64-v8a;armeabi;armeabi-v7a,30,3.2
Obi,OBJ SJ1.5,SJ1-5,1007MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),720x1280,320,armeabi;armeabi-v7a,22,2.0
Obi,MV1,yam,2008MB,Phone,Qualcomm MSM8909,Qualcomm Adreno 304 (400 MHz),720x1280,320,armeabi;armeabi-v7a,22,3.0
Octopus,Octopus_One,Octopus_One,4013MB,Tablet,Mediatek MT8766B,Imagination Tech PowerVR GE8300 (660 MHz),800x1280,213,arm64-v8a;armeabi;armeabi-v7a,30,3.2
Odotpad,FIRE_V7,FIRE_V7,999MB,Tablet,Mediatek MT8321,未知,600x1024,160,armeabi;armeabi-v7a,27,2.0
Oioo,Model 2,wecct,901MB,Tablet,Marvell PXA986,Vivante GC 1000 (1000 MHz),600x1024,160,armeabi;armeabi-v7a,17,2.0
Olike,E1,E1,2904MB,Tablet,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),800x1280,213,arm64-v8a;armeabi;armeabi-v7a,29,3.2
Olike,E3,E3,3991MB,Tablet,Mediatek MT6765,Imagination Tech PowerVR GE8320 (680 MHz),1200x1920,280,arm64-v8a;armeabi;armeabi-v7a,30,3.2
Olla,M5,M5,966MB,Phone,Spreadtrum SC7731E,ARM Mali T820 (600 MHz),480x960,240,armeabi;armeabi-v7a,28,3.2
Olla,M6,M6,966MB,Phone,Spreadtrum SC7731E,ARM Mali T820 (600 MHz),480x960,240,armeabi;armeabi-v7a,28,3.2
